,entity,code,year,gdp_percapita,owid_region_x,average_years_of_education,population_historical,owid_region_y
0,Afghanistan,AFG,2000,1617.8264,Asia,3.03,20130334.0,Asia
1,Afghanistan,AFG,2005,1908.1147,Asia,3.32,24404575.0,Asia
2,Afghanistan,AFG,2010,2848.5862,Asia,3.93,28284088.0,Asia
4,Afghanistan,AFG,2015,2967.6921,Asia,4.81,33831767.0,Asia
5,Afghanistan,AFG,2020,2769.6858,Asia,5.69,39068977.0,Asia
7,Albania,ALB,1990,5560.834,Europe,8.61,3277965.0,Europe
8,Albania,ALB,1995,5151.376,Europe,8.54,3258573.0,Europe
9,Albania,ALB,2000,6581.9893,Europe,9.93,3166147.0,Europe
11,Albania,ALB,2005,8964.281,Europe,10.24,3076156.0,Europe
13,Albania,ALB,2010,11829.004,Europe,10.44,2928731.0,Europe
16,Albania,ALB,2015,13876.762,Europe,9.99,2898634.0,Europe
18,Albania,ALB,2020,16457.719,Europe,10.32,2871950.0,Europe
20,Algeria,DZA,1990,11728.546,Africa,5.05,25375815.0,Africa
21,Algeria,DZA,1995,10588.443,Africa,5.76,28470194.0,Africa
22,Algeria,DZA,2000,11558.221,Africa,6.06,30903894.0,Africa
24,Algeria,DZA,2005,13738.496,Africa,6.43,33109258.0,Africa
27,Algeria,DZA,2010,14496.421,Africa,7.0,36188237.0,Africa
28,Algeria,DZA,2015,15239.518,Africa,7.55,40019528.0,Africa
29,Algeria,DZA,2020,14194.155,Africa,8.18,44042094.0,Africa
35,Argentina,ARG,1990,17007.285,South America,8.67,32755907.0,South America
37,Argentina,ARG,1995,20819.5,South America,8.91,35070016.0,South America
38,Argentina,ARG,2000,22281.38,South America,9.08,37213986.0,South America
40,Argentina,ARG,2005,23262.408,South America,9.57,39216786.0,South America
41,Argentina,ARG,2010,28056.258,South America,9.71,41288694.0,South America
42,Argentina,ARG,2015,28669.207,South America,9.59,43477011.0,South America
43,Argentina,ARG,2020,23877.094,South America,9.86,45191960.0,South America
46,Armenia,ARM,2015,13112.76,Asia,10.45,2921179.0,Asia
51,Armenia,ARM,2020,15052.936,Asia,10.54,2890893.0,Asia
56,Australia,AUS,1990,36267.742,Oceania,11.44,17126304.0,Oceania
57,Australia,AUS,1995,38653.336,Oceania,11.51,18095340.0,Oceania
58,Australia,AUS,2000,45099.074,Oceania,11.37,19132472.0,Oceania
59,Australia,AUS,2005,49997.066,Oceania,11.71,20294490.0,Oceania
60,Australia,AUS,2010,52739.27,Oceania,11.69,22141583.0,Oceania
61,Australia,AUS,2015,55879.996,Oceania,12.92,23947997.0,Oceania
62,Australia,AUS,2020,57260.465,Oceania,12.93,25743787.0,Oceania
63,Austria,AUT,1990,43258.113,Europe,8.26,7679627.0,Europe
64,Austria,AUT,1995,46639.465,Europe,8.93,7950322.0,Europe
65,Austria,AUT,2000,53534.266,Europe,9.43,8012929.0,Europe
66,Austria,AUT,2005,56890.2,Europe,9.89,8229204.0,Europe
67,Austria,AUT,2010,59730.47,Europe,10.13,8365087.0,Europe
68,Austria,AUT,2015,60951.605,Europe,10.27,8644037.0,Europe
69,Austria,AUT,2020,60276.332,Europe,10.39,8921402.0,Europe
85,Bahrain,BHR,2015,54149.914,Asia,7.82,1369656.0,Asia
86,Bahrain,BHR,2020,53814.246,Asia,8.21,1483081.0,Asia
89,Bangladesh,BGD,1990,2069.7822,Asia,3.15,111633722.0,Asia
91,Bangladesh,BGD,1995,2351.7039,Asia,3.72,122600372.0,Asia
92,Bangladesh,BGD,2000,2712.935,Asia,4.77,134544303.0,Asia
94,Bangladesh,BGD,2005,3231.6138,Asia,5.51,144715789.0,Asia
95,Bangladesh,BGD,2010,4125.464,Asia,6.22,152201978.0,Asia
100,Bangladesh,BGD,2015,5352.7114,Asia,6.76,159383179.0,Asia
105,Bangladesh,BGD,2020,7015.1978,Asia,7.23,166298024.0,Asia
108,Barbados,BRB,1990,19195.887,North America,8.79,258583.0,North America
109,Barbados,BRB,1995,18007.234,North America,9.07,262046.0,North America
110,Barbados,BRB,2000,21315.768,North America,9.23,262071.0,North America
111,Barbados,BRB,2005,22035.387,North America,9.41,268717.0,North America
112,Barbados,BRB,2010,20464.795,North America,9.57,275251.0,North America
113,Barbados,BRB,2015,19642.232,North America,9.46,278999.0,North America
114,Barbados,BRB,2020,16399.701,North America,9.67,281706.0,North America
118,Belgium,BEL,1990,41640.06,Europe,10.0,9960968.0,Europe
119,Belgium,BEL,1995,44310.63,Europe,10.64,10137264.0,Europe
120,Belgium,BEL,2000,50455.734,Europe,10.95,10251719.0,Europe
121,Belgium,BEL,2005,54346.895,Europe,11.11,10478883.0,Europe
122,Belgium,BEL,2010,56240.203,Europe,11.29,10936619.0,Europe
123,Belgium,BEL,2015,57509.023,Europe,11.36,11275332.0,Europe
124,Belgium,BEL,2020,57333.543,Europe,11.57,11540102.0,Europe
125,Belize,BLZ,1990,8251.617,North America,8.97,183090.0,North America
127,Belize,BLZ,1995,9967.847,North America,9.62,204165.0,North America
128,Belize,BLZ,2000,11363.687,North America,10.19,240809.0,North America
129,Belize,BLZ,2005,12714.97,North America,10.77,279747.0,North America
130,Belize,BLZ,2010,11913.664,North America,11.28,320256.0,North America
131,Belize,BLZ,2015,12348.795,North America,10.56,356341.0,North America
132,Belize,BLZ,2020,10045.141,North America,10.71,390819.0,North America
134,Benin,BEN,1990,2207.0679,Africa,2.24,5281482.0,Africa
136,Benin,BEN,1995,2300.141,Africa,2.73,6226775.0,Africa
137,Benin,BEN,2000,2536.169,Africa,3.31,7221618.0,Africa
139,Benin,BEN,2005,2632.4724,Africa,3.85,8426145.0,Africa
140,Benin,BEN,2010,2733.574,Africa,4.57,9797488.0,Africa
143,Benin,BEN,2015,2952.0022,Africa,5.42,11360681.0,Africa
146,Benin,BEN,2020,3317.8596,Africa,6.27,13070169.0,Africa
153,Bolivia,BOL,1990,6247.1045,South America,7.63,7130143.0,South America
155,Bolivia,BOL,1995,6914.342,South America,8.09,7874676.0,South America
156,Bolivia,BOL,2000,7492.4336,South America,8.73,8606330.0,South America
158,Bolivia,BOL,2005,8020.6357,South America,8.77,9360758.0,South America
162,Bolivia,BOL,2010,9230.398,South America,8.57,10182345.0,South America
165,Bolivia,BOL,2015,11144.642,South America,8.62,11014707.0,South America
166,Bolivia,BOL,2020,10285.659,South America,9.06,11816301.0,South America
173,Botswana,BWA,2015,15994.964,Africa,10.27,2203276.0,Africa
174,Botswana,BWA,2020,16289.392,Africa,10.58,2365895.0,Africa
175,Brazil,BRA,1990,12633.288,South America,4.94,149143223.0,South America
176,Brazil,BRA,1995,13550.439,South America,5.79,161735079.0,South America
177,Brazil,BRA,2000,14005.348,South America,6.76,174018278.0,South America
179,Brazil,BRA,2005,15221.014,South America,7.67,184688101.0,South America
184,Brazil,BRA,2010,18062.158,South America,8.17,193701931.0,South America
189,Brazil,BRA,2015,18357.068,South America,7.66,201675534.0,South America
194,Brazil,BRA,2020,17327.516,South America,8.0,208660845.0,South America
201,Brunei,BRN,2015,81910.19,Asia,9.08,422223.0,Asia
202,Brunei,BRN,2020,80280.9,Asia,9.28,447411.0,Asia
203,Bulgaria,BGR,1990,14954.135,Europe,8.68,8822366.0,Europe
204,Bulgaria,BGR,1995,13591.343,Europe,9.31,8357576.0,Europe
205,Bulgaria,BGR,2000,12563.836,Europe,9.65,8000519.0,Europe
207,Bulgaria,BGR,2005,17678.033,Europe,10.61,7695047.0,Europe
208,Bulgaria,BGR,2010,21724.287,Europe,11.07,7437594.0,Europe
210,Bulgaria,BGR,2015,24562.648,Europe,10.71,7177515.0,Europe
211,Bulgaria,BGR,2020,28521.207,Europe,10.75,6933656.0,Europe
228,Burundi,BDI,2015,992.2858,Africa,4.3,11047581.0,Africa
231,Burundi,BDI,2020,1027.6289,Africa,5.05,12617041.0,Africa
232,Cambodia,KHM,1990,2646.098,Asia,3.2,7374754.0,Asia
233,Cambodia,KHM,1995,1672.7393,Asia,3.41,10018500.0,Asia
235,Cambodia,KHM,2000,1922.0317,Asia,3.64,12462343.0,Asia
237,Cambodia,KHM,2005,2781.8904,Asia,4.26,13439203.0,Asia
240,Cambodia,KHM,2010,3711.5376,Asia,4.94,14500730.0,Asia
243,Cambodia,KHM,2015,4968.5728,Asia,5.32,15623253.0,Asia
245,Cambodia,KHM,2020,6128.782,Asia,5.81,16725484.0,Asia
247,Cameroon,CMR,1990,4517.6187,Africa,4.65,11331827.0,Africa
248,Cameroon,CMR,1995,3526.5437,Africa,5.3,13058517.0,Africa
249,Cameroon,CMR,2000,3822.9443,Africa,5.76,14912632.0,Africa
250,Cameroon,CMR,2005,4199.7227,Africa,6.06,17074599.0,Africa
252,Cameroon,CMR,2010,4286.583,Africa,6.41,19668063.0,Africa
253,Cameroon,CMR,2015,4698.667,Africa,7.05,22763418.0,Africa
255,Cameroon,CMR,2020,4763.482,Africa,7.37,26210566.0,Africa
256,Canada,CAN,1990,40475.098,North America,10.71,27789437.0,North America
257,Canada,CAN,1995,41617.707,North America,11.11,29459138.0,North America
258,Canada,CAN,2000,48399.285,North America,11.39,30891800.0,North America
259,Canada,CAN,2005,52356.54,North America,12.49,32440172.0,North America
260,Canada,CAN,2010,52558.42,North America,12.74,34196900.0,North America
261,Canada,CAN,2015,55660.844,North America,12.83,35962236.0,North America
262,Canada,CAN,2020,54092.86,North America,12.93,38171903.0,North America
270,Central African Republic,CAF,2015,1043.9218,Africa,4.21,4629322.0,Africa
272,Central African Republic,CAF,2020,1136.5706,Africa,4.64,5026629.0,Africa
278,Chile,CHL,1990,10955.249,South America,8.58,13437181.0,South America
280,Chile,CHL,1995,14911.564,South America,8.92,14527382.0,South America
281,Chile,CHL,2000,17529.42,South America,9.41,15503638.0,South America
